iter	Passed	Remaining
0	136	136735
1	138	69061
2	139	46333
3	140	34985
4	141	28142
5	142	23564
6	143	20291
7	143	17825
8	144	15899
9	145	14357
10	145	13113
11	146	12058
12	147	11162
13	147	10392
14	148	9778
15	149	9190
16	149	8671
17	150	8212
18	150	7795
19	151	7422
20	151	7084
21	152	6776
22	152	6495
23	153	6236
24	153	6003
25	154	5795
26	155	5592
27	155	5405
28	156	5228
29	156	5074
30	157	4922
31	157	4777
32	158	4643
33	158	4516
34	159	4395
35	159	4280
36	160	4172
37	160	4069
38	161	3971
39	162	3902
40	163	3816
41	163	3738
42	164	3657
43	164	3579
44	165	3506
45	165	3435
46	166	3366
47	166	3301
48	166	3239
49	167	3179
50	167	3122
51	168	3066
52	168	3014
53	169	2962
54	169	2913
55	169	2865
56	170	2819
57	170	2774
58	171	2731
59	171	2689
60	172	2649
61	172	2609
62	173	2575
63	173	2538
64	173	2502
65	174	2471
66	175	2437
67	175	2401
68	175	2370
69	176	2340
70	176	2311
71	177	2282
72	177	2254
73	177	2226
74	178	2199
75	178	2173
76	179	2149
77	179	2125
78	180	2101
79	180	2077
80	181	2054
81	181	2031
82	181	2010
83	182	1988
84	182	1965
85	183	1945
86	183	1924
87	183	1904
88	184	1885
89	184	1866
90	185	1848
91	185	1830
92	185	1812
93	186	1795
94	186	1778
95	187	1762
96	187	1746
97	187	1730
98	188	1715
99	188	1700
100	189	1686
101	189	1669
102	190	1655
103	190	1641
104	190	1627
105	191	1613
106	191	1599
107	192	1586
108	192	1573
109	193	1561
110	193	1549
111	193	1537
112	194	1525
113	194	1513
114	195	1501
115	195	1489
116	195	1478
117	196	1467
118	196	1455
119	197	1445
120	197	1434
121	197	1424
122	198	1412
123	198	1402
124	198	1392
125	199	1382
126	199	1373
127	200	1362
128	200	1353
129	200	1344
130	201	1335
131	201	1327
132	202	1318
133	202	1310
134	203	1302
135	203	1293
136	204	1285
137	204	1276
138	204	1268
139	205	1260
140	205	1252
141	206	1245
142	206	1237
143	206	1229
144	207	1222
145	207	1214
146	208	1207
147	208	1200
148	208	1193
149	209	1186
150	209	1179
151	210	1173
152	210	1166
153	211	1159
154	211	1153
155	211	1146
156	212	1140
157	212	1134
158	213	1128
159	213	1122
160	214	1115
161	214	1109
162	215	1104
163	215	1098
164	215	1092
165	216	1086
166	216	1080
167	217	1074
168	217	1069
169	217	1063
170	218	1058
171	218	1052
172	219	1047
173	219	1041
174	219	1036
175	220	1031
176	220	1025
177	221	1020
178	221	1015
179	221	1010
180	221	1004
181	222	999
182	222	994
183	223	989
184	223	984
185	223	979
186	224	975
187	224	970
188	225	965
189	225	961
190	225	956
191	226	951
192	226	947
193	227	943
194	227	939
195	227	934
196	228	931
197	228	926
198	229	922
199	229	918
200	230	914
201	230	910
202	230	906
203	231	902
204	231	898
205	232	894
206	232	891
207	233	887
208	233	883
209	233	879
210	234	875
211	234	871
212	234	868
213	235	864
214	235	861
215	236	857
216	236	853
217	237	850
218	237	846
219	237	843
220	238	839
221	238	836
222	238	832
223	239	828
224	239	825
225	240	822
226	240	818
227	241	816
228	241	813
229	242	810
230	242	807
231	242	803
232	243	800
233	243	797
234	244	794
235	244	791
236	245	789
237	245	786
238	246	783
239	246	781
240	247	778
241	247	775
242	248	773
243	248	770
244	249	767
245	249	764
246	249	761
247	250	759
248	251	757
249	251	754
250	251	751
251	252	749
252	252	746
253	253	745
254	254	742
255	254	740
256	255	737
257	255	734
258	256	732
259	256	729
260	256	727
261	257	724
262	257	722
263	258	719
264	258	717
265	259	714
266	259	712
267	259	709
268	260	708
269	260	705
270	261	702
271	261	700
272	262	698
273	262	696
274	263	694
275	263	691
276	264	689
277	264	687
278	265	684
279	265	682
280	265	680
281	266	677
282	267	676
283	267	674
284	267	672
285	268	669
286	268	667
287	269	665
288	269	663
289	270	661
290	270	658
291	270	656
292	271	654
293	271	652
294	272	650
295	272	648
296	273	646
297	273	644
298	274	642
299	274	640
300	274	638
301	275	636
302	275	634
303	276	632
304	276	630
305	277	628
306	277	626
307	277	624
308	278	622
309	278	620
310	279	618
311	279	616
312	280	614
313	280	612
314	280	610
315	281	609
316	281	607
317	282	605
318	282	603
319	283	601
320	283	599
