iter	Passed	Remaining
0	0	628
1	1	540
2	1	522
3	2	512
4	2	497
5	2	484
6	3	481
7	5	633
8	5	615
9	6	604
10	7	645
11	7	638
12	8	622
13	10	723
14	11	752
15	11	733
16	12	716
17	13	713
18	13	700
19	15	742
20	15	726
21	16	712
22	16	700
23	16	690
24	17	679
25	17	668
26	18	657
27	18	649
28	20	679
29	21	685
30	21	676
31	22	667
32	22	660
33	22	652
34	25	698
35	26	696
36	27	706
37	27	699
38	28	691
39	28	683
40	29	679
41	31	709
42	31	702
43	32	695
44	32	688
45	33	699
46	35	712
47	35	706
48	36	700
49	37	710
50	39	740
51	40	737
52	41	736
53	41	729
54	42	725
55	43	735
56	44	730
57	45	734
58	45	731
59	47	738
60	47	732
61	47	725
62	50	758
63	51	752
64	52	748
65	52	742
66	52	737
67	54	740
68	54	735
69	55	731
70	56	737
71	56	732
72	57	727
73	57	721
74	58	716
75	58	711
76	58	706
77	59	706
78	60	705
79	61	703
80	61	700
81	62	698
82	62	691
83	63	688
84	63	684
85	64	689
86	66	693
87	66	691
88	67	687
89	67	684
90	68	681
91	68	678
92	69	675
93	69	671
94	70	667
95	70	668
96	71	666
97	72	663
98	72	659
99	73	657
100	73	654
101	74	657
102	75	654
103	75	654
104	76	651
105	76	648
106	77	646
107	78	644
108	79	647
109	80	649
110	80	647
111	81	644
112	82	645
113	83	645
114	83	645
115	84	642
116	84	639
117	85	637
118	86	642
119	87	639
120	87	637
121	88	634
122	88	633
123	89	631
124	89	629
125	90	627
126	91	627
127	92	628
128	92	627
129	93	626
130	94	625
131	94	622
132	95	622
133	96	621
134	96	620
135	97	618
136	97	616
137	98	614
138	98	612
139	99	612
140	100	610
141	100	607
142	101	605
143	101	604
144	102	602
145	102	601
146	103	599
147	103	597
148	104	596
149	104	594
150	105	592
151	105	590
152	106	588
153	106	587
154	107	585
155	107	583
156	108	582
157	108	580
158	109	578
159	109	576
160	110	574
161	110	572
162	111	570
163	111	568
164	112	567
165	112	565
166	113	566
167	114	565
168	114	563
169	115	563
170	115	562
171	116	560
172	117	559
173	117	558
174	118	557
175	118	555
176	119	553
177	119	551
178	120	552
179	121	552
180	122	552
181	123	552
182	123	551
183	123	549
184	124	547
185	124	546
186	125	545
187	125	544
188	126	542
189	126	540
190	127	539
191	127	537
192	128	535
193	128	534
194	128	532
195	129	531
196	130	530
197	130	529
198	131	527
199	131	526
200	131	524
201	132	523
202	132	522
203	133	520
204	133	519
205	134	517
206	134	516
207	135	515
208	135	513
209	136	512
210	136	510
211	137	509
212	137	508
213	138	507
214	139	507
215	139	506
216	139	505
217	140	503
218	140	501
219	141	500
220	141	499
221	141	497
222	142	497
223	143	496
224	144	496
225	144	494
226	144	493
227	145	492
228	146	492
229	146	491
230	147	489
231	147	488
232	148	487
233	148	486
234	149	485
235	149	484
236	150	482
